"name","aliases","region","category","is_niche","ticket_cny","shuttle_cny","altitude_m","visit_hours","best_time","road_requirement","signal","rating","recommendation","suggested_day","detour_note","ref_url"
"柏树山","柏树山国家森林公园、德令哈柏树山。","柴达木主线","山岳/雪峰","1","0","","3000-3500","1—2h","上午或黄昏。9 月底—10 月初特别说明：本次 D9（10.3）17:00 到德令哈后、若天色尚早可上山看日落；10 月初山上明显更冷。","较好、轿车可达主景区（来源：research/A）；徒步难度低、新手可冲（来源：什么值得买）。但注意：往琉璃湖/哈拉湖方向的深处路段完全不同、为碎石搓板路、需四驱。","较好、有信号（来源：research/A）。","顺路可去（琉璃湖入口）","顺路强烈推荐（若住德令哈）","D9/D10","微绕路：德令哈市区往返约 20km / 0.5h","https://post.m.smzdm.com/p/a5rn8zp3/"
"可鲁克湖 · 托素湖","柯鲁克湖、情人湖、""夫妻湖""。","柴达木主线","湖泊","1","60","","2800","1.5—2h","清晨看鸟、黄昏看托素湖的荒凉。9 月底—10 月初特别说明：本次 D9（10.3）从格尔木到德令哈途中或 D10 出发前可顺路；10 月初芦苇转金黄、是可鲁克湖一年中最好看的时候。","柏油路直达、轿车无压力。","有信号。","顺路可去","顺路可去","D9/D10","零绕路","https://post.m.smzdm.com/p/a5rn8zp3/"
"外星人遗址 / 白公山","白公山铁管、外星人遗址。","柴达木主线","遗址/古迹/关隘","1","0","","2800","1h","全天。9 月底—10 月初特别说明：出发前必须确认是否开放、否则白跑。","路极烂（来源：research/A）、建议 SUV。","无信号（来源：research/A）。","2026 多数时间关闭","建议放弃","D10 变体","微绕路：托素湖侧约 20—30km / 1h","https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1636873458546695"
"格尔木胡杨林","格尔木胡杨林景区、托拉海胡杨林。","柴达木主线","沙漠绿洲","1","50","","2700-2800","1.5—2h","【本册最强时令匹配】10 月上旬（国庆期间）是最佳全盛期（来源：头条 转引 research/A）。本次行程 D8（10.2）在格尔木整天、D9（10.3）从格尔木出发——时间点完美吻合。上午或黄昏斜光拍金叶最佳。","较好、柏油路、轿车无压力（来源：research/A）。","有信号（来源：research/A）。","顺路强烈推荐（10月上旬全盛）","顺路强烈推荐（时令完美匹配）","D8/D9","需绕路：格尔木往返约 100km / 2—3h","http://m.toutiao.com/group/7642539914936042018/"
"冰沟丹霞","冰沟丹霞景区、窗棂状宫殿式丹霞、张掖丹霞地质公园冰沟园区（来源：research/B、重庆青旅）。","张掖·肃南·山丹","丹霞地貌","1","40","20","2200-2500","2—3h","10 月初上午光线较好、利于拍摄岩石阴影质感（来源：research/B）；黄昏侧光时""卢浮魅影""""大地之根""等标志性岩体轮廓最立体。 - 9 月底—10 月初特别说明：本次若排进 D3 傍晚抵张掖前或 D4 上午出发前均可。更推荐 D4 早上 07:00 开门即入、9:30 前离开——既避开团队大…","全程柏油路、普通轿车无压力；景区内 10km 观光线由观光车覆盖、私家车不能进核心区（来源：携程）。","有信号（景区已成熟运营、停车场与游客中心均有覆盖）。","顺路可去","顺路可去","D4 变体","微绕路：约 15—30min","https://club.m.autohome.com.cn/bbs/thread/1f63f0d40e9069e2/115670458-1.html"
"平山湖大峡谷","张掖平山湖大峡谷、平山湖峡谷、Ping Shan Lake Valley（来源：甘肃丝绸之路国旅）。","张掖·肃南·山丹","峡谷","1","130","","2000","4—5h","10 月初午后至黄昏、峡谷岩壁被照亮时最震撼（来源：research/B）。 - 9 月底—10 月初特别说明：本次只有 D3 傍晚抵张掖后的次日（D4）上午能排、但 D4 要跑 580km 到敦煌——两者几乎不可能兼得。若真的想去、只有""张掖多住一晚""这一条路。","市区到景区为柏油路、轿车可达；景区内深度游线路需换乘越野车与骆驼车（来源：Trip Moments）、自驾车不进核心区。","景区入口与观景台有信号；峡谷底部信号弱。","需专门绕路","需专门绕路 4—6h、本次建议放弃；13 天则强烈推荐","D4 变体","需绕路：张掖往返约 112km / 4—6h","https://www.zhangye.gov.cn/chzy/zyly/ajjq/202303/t20230318_1007461_ghb.html"
"马蹄寺石窟","马蹄寺石窟群、马蹄石窟群旅游区、马蹄寺风景名胜区（含北寺、南寺、金塔寺、千佛洞等）。","张掖·肃南·山丹","石窟/寺庙","1","90","","2500","3—4h","上午入园最好——三十三天石窟内部通道极窄、下午团队大巴到达后会严重拥堵。 - 9 月底—10 月初特别说明：马蹄寺位于 G213（祁连 9 号公路）进入张掖的方向上、因此它是 D3（肃南→张掖）最顺路的加点、比冰沟、平山湖都更契合本次动线。10 月初祁连山北麓草甸转黄、石窟外的雪山—草原背景正好。…","张掖—马蹄寺为柏油路、轿车可达；从 G213 肃南方向过来同样是铺装路。景区内各点之间距离较远、区间车基本是必需品。","景区内有信号；三十三天石窟内部通道无信号（岩体屏蔽）。","需专门绕路","顺路强烈推荐（D3 加插）","D3/D4 变体","微绕路：张掖往返约 130km / 3—4h","https://hk.trip.com/moments/detail/sunan-1446174-143430064/"
"山丹军马场","大马营草原、山丹马场、中牧山丹马场（分总场与一场至五场、来源：去哪儿）。","张掖·肃南·山丹","草原/牧场","1","65","20","2600-3000","半天","6—9 月是最佳季节（来源：张掖本地宝）；7—8 月油菜花与草原最盛（来源：大河票务）。 - 9 月底—10 月初特别说明（决定性）：本次出行时间已完全越过最佳季节。10 月初草原已枯黄、马群多已收拢入圈、""万马奔腾""是旅游宣传片里的场景、不是国庆能看到的实况。这是本条目""建议放弃""的核心理由。","主路为柏油路、轿车可达核心景区；深入各分场的牧道为砂石路、需 SUV。有资料称部分区域""目前只接受徒步或骑马游客、机动车无法入内""（来源：租租车）——存在差异、出行前致电 0936-2891022 确认。","场区主路有信号；深入草原后弱。","需专门绕路","建议放弃（10 月初错季）","变体","需绕路：张掖往返约 200km / 5h+","https://www.shandan.gov.cn/gysd/whly/jq/202601/t20260119_1499807.html"
"焉支山","胭脂山、删丹山、大黄山（""焉支""即胭脂、古匈奴语音译）。","张掖·肃南·山丹","山岳/雪峰","1","45","","2200-3000","2—3h","夏季（6—8 月）森林最盛；9 月底—10 月初是彩林期、青海云杉的深绿与桦树的金黄叠在一起、是本片区少有的""秋色""点。 - 9 月底—10 月初特别说明：本次 D3 傍晚才到张掖、D4 一早要走、没有时间窗口。焉支山属于""如果在张掖多住一天、且不想爬平山湖天梯""的备选。","柏油路直达景区停车场、轿车无压力；景区内为步道、不能自驾。","有信号。","无一手数据。","需专门绕路 4h+、本次建议放弃","—","需绕路：往返 4h 以上","https://www.shandan.gov.cn/gysd/whly/jq/202601/t20260119_1499805.html"
"张掖国家湿地公园","张掖湿地公园、黑河湿地、张掖国家城市湿地公园（来源：张掖市人民政府）。","张掖·肃南·山丹","草原/湿地","1","0","","1480","1h","清晨与黄昏光线最柔、鸟最活跃。 - 9 月底—10 月初特别说明：秋季金黄芦苇是它最好的时候（来源：甘肃文旅导览）。本次 D3 傍晚抵达张掖后、是唯一一个""不需要额外安排半天、饭后就能去""的景点。","市区柏油路、任何车型无压力。","满格（市区）。","无一手数据（doc3 团队在张掖只安排了七彩丹霞）。","顺路强烈推荐（D3 傍晚零成本）","D3","零绕路（张掖市区北侧）","https://www.zhangye.gov.cn/chzy/zyly/ajjq/202303/t20230318_1007460.html"
"玉门关","小方盘城、玉门关遗址景区（联票含玉门关、汉长城、河仓城三处、来源：中国南方航空 · 敦煌旅游攻略）。","敦煌·瓜州","遗址/古迹/关隘","1","40","","1100-1200","1—1.5h","黄昏（17:30—19:00）斜光打在夯土墙上最出片、也最凉快；清晨次之。 - 9 月底—10 月初特别说明：新的闭园时间延到 19:30（来源：澎湃新闻）、这意味着可以下午出发跑西线、把玉门关放在返程的黄昏。本次 D5（9.29）若安排西线、推荐顺序：下午出发 → 玉门关 → 雅丹魔鬼城看日落 →…","S314 全程柏油路、路况极好、车少笔直、普通轿车无压力。但沿途 90km 无加油站、无服务区、出发前在敦煌加满油。","景区有信号但较弱；有攻略明确提醒""cell service is dead at the pass""（来源：GoChinaCompass）——建议提前下载电子票 PDF 与离线地图…","顺路可去","顺路强烈推荐（作为西线一日的一部分）","D5/D6 变体","需绕路：敦煌往返约 180km / 3h（与雅丹共用）","https://m.thepaper.cn/newsDetail_forward_33821175"
"阳关","阳关景区、敦煌阳关博物馆、古董滩。","敦煌·瓜州","遗址/古迹/关隘","1","50","20","1200","1.5h","傍晚光线柔和、烽燧与戈壁的层次最好。 - 9 月底—10 月初特别说明：本次 D5 敦煌全天、在""阳关""和""玉门关+雅丹""之间必须二选一——优先选后者、因为玉门关+雅丹是一条线上的两个点、性价比明显更高。","全程柏油路（X215/阳关大道方向）、轿车无压力。","有信号（距市区较近、沿途有村庄与葡萄园）。","顺路可去","顺路可去 / 本次建议放弃（与玉门关+雅丹二选一）","D5/D6 变体","需绕路：敦煌往返约 140km / 2h+","https://www.dhygbwg.com/index.html"
"敦煌雅丹国家地质公园（魔鬼城）","敦煌魔鬼城、雅丹世界地质公园、三垄沙雅丹。","敦煌·瓜州","雅丹地貌","1","50","70","900-1000","2.5—3h","日落前 1.5 小时进园、是唯一正确答案——正午顶光下雅丹是灰白色的、日落时才会变成橙红。 - 9 月底—10 月初特别说明：10 月初敦煌日落约 19:00—19:20。从敦煌市区出发需 2.5—3 小时、因此最晚 15:00 必须发车。 返程夜路 180km、建议由两名司机轮换、并注意路上有野生…","S314 全程柏油路、笔直、车少、路况优秀、轿车完全无压力；但景区内部必须换乘观光车、私家车禁入。","景区内信号弱到无；S314 沿线大段无信号。必须提前下载离线地图、并在敦煌加满油。","需专门绕路","顺路强烈推荐（若 D5 跑西线）；要么不去要么留半天","D6 变体","需绕路：敦煌往返约 360km / 5—6h","http://lz.bendibao.com/tour/202362/61485.shtm"
"西千佛洞","敦煌西千佛洞（因位于莫高窟以西而得名、莫高窟又名千佛洞）。","敦煌·瓜州","石窟/寺庙","1","30","","1200","1—2h","上午光线较好、且团队少。 - 9 月底—10 月初特别说明：它最大的价值是""莫高窟 A 票抢不到时的替代方案""。research/B 明确指出莫高窟 A 票需提前 30 天在公众号 07:00 抢、国庆必须卡点秒杀（来源：research/B）——若 9 月 1 日没抢到 A 票、只拿到 B 票（4…","G215 国道柏油路、轿车无压力；停车场到窟区需走一段下坡台阶（在党河河岸崖壁上）。","有信号。","无一手数据。","顺路可去；若莫高窟只拿到 B 票则升级为强烈推荐","D5—D6","微绕路：敦煌往返约 70km / 1.5h","http://www.dha.ac.cn/skxl/xqfd.htm"
"榆林窟（瓜州）","万佛峡、瓜州榆林窟。","敦煌·瓜州","石窟/寺庙","1","40","","1400","1.5—2h","上午到达最好（16:30 停止售票是硬约束）。 - 9 月底—10 月初特别说明：本次 D4（9.28、张掖→敦煌） 会经过瓜州、但 D4 本身已是 580km 的长途日。若要加榆林窟、等于当天再加 2—2.5 小时、抵达敦煌将超过 21:00。更合理的做法是：把榆林窟放到 D5 或 D6、从敦煌单…","瓜州出口下高速后为省道/县道、柏油路、轿车可达；最后一段进峡谷的路较窄、注意会车。","峡谷内信号弱。","需专门绕路","顺路强烈推荐（若 D4 能挤出 2.5h）","D4 变体","需绕路：G30 主线往返约 140km / 2—2.5h","https://www.dha.ac.cn/skxl/ylk.htm"
"锁阳城","锁阳城遗址、苦峪城、瓜州故城。","敦煌·瓜州","遗址/古迹/关隘","1","50","","1300","1h","黄昏斜光时夯土城墙的体积感最强。 - 9 月底—10 月初特别说明：本次 D4 途经瓜州、但它的优先级低于榆林窟与大地之子。若三选一、锁阳城通常是被舍弃的那个——因为遗址的""信息量""高度依赖讲解、走马观花只会看到一圈土墙。","柏油路 + 最后一段景区道路、轿车可达。","弱（戈壁腹地）。","需专门绕路","顺路可去 / 本次建议放弃（优先榆林窟）","D4 变体","需绕路：G30 主线往返约 120km / 2h","https://www.wlj.jiuquan.gov.cn/wlj/c106743/202604/38c906fe13a84c05a6b651bf1b03807a.shtml"
"瓜州大地之子 / 无界雕塑群","戈壁国际雕塑艺术长廊、瓜州雕塑艺术走廊（含《大地之子》《无界》《风语者》《汉武雄风》《戈壁方舟》等、来源：甘肃文旅 · 丝绸之路（敦煌）国际文化博览会）。","敦煌·瓜州","遗址/古迹/关隘","1","0","","1200","40—60min","日出与日落时分光影变幻最具感染力（来源：携程）——红砂岩在斜光下会变成暖橙色。 - 9 月底—10 月初特别说明：本次 D4（9.28）张掖→敦煌途中、午后经过瓜州、正好是光线开始变斜的时候。这是本片区唯一一个""不需要为它改行程""的点。","下高速后为省道、柏油路、轿车无压力；雕塑周边有硬化停车区（来源：穷游）。","有信号但较弱（戈壁开阔地）。","doc2：可略","顺路强烈推荐（必停）","D4","微绕路：G30 瓜州南出口往返约 30—45km / 40—50min","https://www.gswbj.gov.cn/a/2024/04/18/20167.html"
"扁都口","大斗拔谷（古称）、扁都口生态休闲旅游景区。","祁连山·门源","垭口/山口","1","0","","2600","30—60min","7 月中下旬油菜花期是它的绝对高光、此时整条河谷金黄；其余季节观赏价值大幅下降。 - 9 月底—10 月初特别说明：双重不适合——① 花期已过、只剩收割后的田地；② 道路封闭至 2027 年 7 月 31 日（来源：今日头条）。本次行程直接排除。","2026 年 5 月 1 日—2027 年 7 月 31 日全封闭施工、不可通行（来源：今日头条）。替代路线：张掖↔祁连必须改走 G213（祁连山 9 号公路）。","（封闭中、不适用）峡谷段历史上信号一般。","查封路（G227 段封闭至2027）","本次建议放弃（封闭 + 错过花期）","备用绕行","道路封闭（2026-05-01 至 2027-07-31）","http://m.toutiao.com/group/7632270477255410239/"
"黑河大峡谷","祁连黑河大峡谷、百里画廊。","祁连山·门源","峡谷","1","0","","2900-3400","2h","秋季黄昏是最佳取景时段（来源：百度百科）。 - 9 月底—10 月初特别说明：这正是黑河大峡谷一年中最好的时候——草甸转金黄、山顶初雪、光线低角度。本次 D8—D9 在祁连停留期间可安排半天、或在 张掖→祁连改道 G213 时顺路经过。","这是本片区路况风险最高的点。① 携程明确提示""这一带路况一般、开车要多注意""（来源：携程）；② 部分路段需四驱车辆通行（来源：百度百科）；③ 自驾攻略特别警告""黑河大峡谷等临崖弯道段要警惕碎落石风险、高边坡路段别长时间逗留拍照、尤其雨后/大风后更要快通过""（来源：今日头条 · 祁连山九号公路自驾攻略…","峡谷内信号差到无（有 70 公里无人区、来源：马蜂窝）。","顺路可去","顺路强烈推荐（只走铺装观景段、不深入）","D3 变体","微绕路：八宝镇往返约 40km / 1.5h（或 G213 顺路）","https://baike.baidu.com/item/%E9%BB%91%E6%B2%B3%E5%A4%A7%E5%B3%A1%E8%B0%B7/3016093"
"康乐草原","赛罕塔拉（裕固语""美丽的草原""）、中华裕固风情走廊（相邻/关联景区）。","祁连山·门源","草原/湿地","1","60","55","2500-3200","4—5h（自驾深度）","夏季（5—10 月）气温 15—28℃、紫外线强（来源：穷游）；每年 7 月底有裕固族传统文化艺术节。 - 9 月底—10 月初特别说明：""秋季草甸金黄、与雪山形成冷暖对比""（来源：汽车之家）——季节上完全对味。但夏季的狼毒花、金莲花花海已过。","景区内 80 公里观光公路蜿蜒穿行于草原、森林与峡谷之间、可随时停车观景（来源：汽车之家）；游记提到有""令人紧张刺激的四公里原始森林穿越""（来源：携程游记）。综合判断：主路铺装状况尚可、但有非铺装与山地路段、SUV 更从容、轿车需谨慎并放慢速度。","草原开阔地有信号、森林与峡谷段偏弱。","顺路可去","需专门绕路半天以上、本次建议放弃","D3","需绕路：张掖往返约 102km / 半天以上","https://baike.baidu.com/item/%E5%BA%B7%E4%B9%90%E8%8D%89%E5%8E%9F/17393091"
"岗什卡雪峰","冷龙岭主峰、""龙峰夕照""（门源八大景之一、来源：百度百科）。","祁连山·门源","山岳/雪峰","1","0","25","3600","2—3h","傍晚""龙峰夕照""是招牌——夕阳西下时山顶五彩缤纷（来源：百度百科）；清晨则有机会拍到日照金山。 - 9 月底—10 月初特别说明：这是岗什卡最好的季节之一——夏季消融的雪线在 9 月底开始回落、山顶重新积雪、同时草甸转黄。本次若走""西宁→门源→祁连""或回程经门源、可作为半日加点。","G227 门源—青石嘴段为柏油国道、路况好；从牌坊到景区的支线为景区道路、山上部分路段建议乘摆渡车而不是自驾。","山下有信号、上到 3600m 观景区后减弱。","无一手数据。","顺路强烈推荐（若经门源）；否则放弃","D8—D9（含门源段时）","需绕路：门源往返约 100km / 3h（仅当行程经门源）","https://baike.baidu.com/item/%E5%B2%97%E4%BB%80%E5%8D%A1%E9%9B%AA%E5%B3%B0/9922642"
"大冬树山垭口","大冬树垭口、大东树山垭口。","祁连山·门源","垭口/山口","1","0","","4120","15—30min","上午和傍晚光线柔和、云雾缭绕、是拍摄的绝佳时机（来源：游小途）。 - 9 月底—10 月初特别说明：山口常常有积雪、即使夏季也经常能拍到雪景（来源：Trip Moments）——10 月初大概率能遇到雪、这是加分项、但同时意味着路面结冰风险。 国庆期间若遇降雪、垭口可能临时交通管制。","S204 这一段道路较好、很平坦、但全程有限速规定（时速 60—80 公里）、有固定和流动测速（来源：携程）。 重要变化：穿山隧道已经打通、加上新修的盘山路、通行时间可节省 1 个多小时——这也意味着未来主线可能不再翻越垭口顶（来源：携程）。若想上垭口打卡、导航时注意不要被自动引导走隧道。","垭口有微弱信号、两侧山谷段较差。","无一手数据。","顺路强烈推荐（必停）","D9—D10","零绕路（祁连→青海湖必经）","https://touch.go.qunar.com/poi/9487137"
"阿柔大寺","阿力克大寺、藏语称""阿柔县喜宏法洲""（来源：同程）。","祁连山·门源","石窟/寺庙","1","15","","2900","1—1.5h","上午光线打在红墙金顶上最好、且大殿开放。 - 9 月底—10 月初特别说明：秋季草原转黄、寺院的红白建筑在金色草甸与雪山之间对比强烈、是一年中色彩层次最好的时候。本次 D8/D9 在祁连片区活动时可顺路 1 小时。","G227 柏油国道 + 短支线、路况好、轿车无压力。","有信号（距县城 21km、沿线有村庄）。","无一手数据。","顺路强烈推荐","D8—D9","微绕路：八宝镇往返约 42km / 1h","https://m.ly.com/tour/youji/view/poiBasic.html?poiId=2760000002476"
"牛心山（阿咪东索）","阿咪东索（藏语意为""千兵哨卡""/""众山之王""）、八宝山（蒙古语""乃曼额尔德尼""）、阿咪东索景区（来源：Meet99）。","祁连山·门源","山岳/雪峰","1","0","","2700-3500","2—3h","上午光线好、且下午山区易起云遮住主峰。 - 9 月底—10 月初特别说明：这是它最好的季节——2026 年因天气变暖、7 月中旬山顶已无雪（来源：今日头条）、而9 月底开始重新积雪、正是""雪山 + 金色草甸""同框的窗口期。research/B 也记载卓尔山片区""10 月初草原开始泛黄、雪山初显、色彩…","从游客中心到最高处万佛崖十几公里、路况非常好（来源：今日头条）；可自驾进入。轿车可行、但盘山路段注意坡度与弯道。","山下有信号、上到高处减弱。","无一手数据（doc3 团队在祁连只上了卓尔山）。","顺路强烈推荐","D8—D9（上午、配卓尔山日落）","微绕路：祁连县城往返约 20km / 0.5h","https://www.haibei.gov.cn/mhhb/lyhb/bqjd/9167561.html"
"贵德国家地质公园（阿什贡七彩峰丛）与""天下黄河贵德清""","阿什贡七彩峰丛景区（地质公园主园区）、清清黄河景区（黄河沿岸段）。","青海湖·湟源·西宁","丹霞地貌","1","95","","2200","3—4h","黄昏观黄河落日是贵德的经典项目（来源：贵德县人民政府）。 - 9 月底—10 月初特别说明：贵德海拔低、气温高、是本次行程里唯一""暖和""的地方；秋季黄河水更清、含沙量更低、正是""贵德清""最明显的时候。但它需要专门从西宁往返（约 4 小时车程 + 4 小时游览 = 一整天）。","西宁→贵德需翻越拉脊山（G214/S101）、全程柏油路但盘山弯道多、坡陡；轿车可行、注意刹车与山区雾。冬季有结冰风险、10 月初一般无碍。","全程有信号（沿线城镇密集）。","需专门绕路","需专门绕路一整天；时间紧则放弃","D11 变体","需绕路：西宁往返约 140km / 一整天","https://qj.qhswlt.com/#/str-view/409537197461692416"
"金银滩 · 原子城","原子城国家级爱国主义教育示范基地、221 基地、金银滩草原。","青海湖·湟源·西宁","草原/湿地","1","0","","3100-3200","1.5—2h","上午参观纪念馆、光线与人流都较好。 - 9 月底—10 月初特别说明：金银滩草原此时已转金黄、""金银滩""这个名字在秋天才最名副其实。国庆期间纪念馆是爱国主义教育热门场所、预约名额会紧张、建议提前 1—3 天预约。","G315 与县道均为柏油路、路况优秀、轿车无压力。","良好。","顺路可去","顺路强烈推荐","D10/D11 变体","零绕路（西宁↔青海湖主线上）","http://qhyzcjq.com/index"
"湟源丹噶尔古城","东科尔（藏语、蒙语音译""丹噶尔""、意为""白海螺""）、""小北京""""海藏咽喉""（来源：同程、西宁本地宝）。","青海湖·湟源·西宁","遗址/古迹/关隘","1","0","","2600-2700","1—1.5h","傍晚古城灯笼亮起时氛围最好；南城墙有观灯区、开放时间 12:00—23:00、最晚 22:30 入内（来源：携程）。 - 9 月底—10 月初特别说明：这是本次行程里最容易安排的点——D10/D11 从青海湖回西宁、正好在午后经过湟源、停 1.5 小时吃个饭、逛个街、再开 40 分钟回西宁。国庆期间…","G109 国道柏油路、路况极好、轿车无压力；古城内为步行街、车停外围。","良好。","顺路可去","顺路强烈推荐","D10 回程","零绕路（G109 主线上）","https://m.ly.com/tour/youji/view/poiBasic.html?poiId=2810000000040"
"日月山","赤岭、""西海屏风""（来源：中国南方航空）。","青海湖·湟源·西宁","山岳/雪峰","1","40","","3500-3600","20min—1h","上午通过、光线好且不易起云。 - 9 月底—10 月初特别说明：这一段是 D10/D11 青海湖→西宁的必经路、属于""路过顺便看一眼""的性质。秋季山上草黄、无花海。","G109 国道、路况优秀、轿车无压力；景区停车场就在路边。","良好。","无一手数据。","顺路可去（路边看一眼、不建议买票上山）","D10—D11","零绕路（G109 垭口路边）","https://www.csair.com/h5/cn/tourism_strategy/guonei_lvyougonglve/Xining2/1cgg3f3oa1pej.shtml"
"倒淌河","倒淌河镇、倒淌河风景区。","青海湖·湟源·西宁","城镇/补给站","1","40","","3300","15min","无明显最佳时段。 - 9 月底—10 月初特别说明：它只是青海湖↔西宁路上的一个路过点、不需要为它单独规划时间。","G109 国道路边、轿车无压力。","良好。","无一手数据。","建议放弃（仅作补给站停 15min）","D10—D11","零绕路（G109 路边）","https://m.map.360.cn/m/search/detail/pid=94de0764c2fe54be"
"151 基地（青海湖二郎剑景区）","二郎剑景区、151 景区、青海湖鱼雷基地遗址（来源：重庆中国青年旅行社）。","青海湖·湟源·西宁","湖泊","1","90","","3200","1.5—2h","上午光线好、湖水最蓝；下午易起风。 - 9 月底—10 月初特别说明：7 月的油菜花海已完全收割（来源：新浪新闻）、10 月初来看青海湖是""纯粹的蓝 + 枯黄草地""、人流量比暑期低很多、是它体验最好的时段之一。 但 10 月 31 日闭园的说法意味着 10 月下旬之后要格外注意。","G109 国道柏油路、路况极好、轿车无压力。","良好。","无一手数据（doc3 团队在青海湖走的是环湖西路与黑马河）。","顺路可去；若走环湖西路 + 黑马河则可放弃","D10","零绕路（G109 主线上）","https://you.ctrip.com/destinationsite/sight/gonghe2644/50229-traffic.html"
"沙岛与鸟岛（已封闭、不可进入）","青海湖沙岛景区、鸟岛（含蛋岛、鸬鹚岛）。","青海湖·湟源·西宁","湖泊（已封闭）","1","","","3200","—","9 月底—10 月初特别说明：无论什么时段都不可进入。 有攻略明确警告""鸟岛、沙岛因生态修复永久关闭、不要相信所谓内部通道""（来源：新浪新闻）。","（不适用）通往两地的原游客通道已封闭、沙岛游客中心已拆除。","（不适用）","无一手数据（已封闭）。","不可前往（2017 年起封闭至今）","—","—","https://www.qhh.qinghai.gov.cn/html/230/2026-01-12/content-4310.html"
"青海省博物馆","青博。","青海湖·湟源·西宁","博物馆/展馆","1","0","","2260","2—3h","上午开馆后人少。 - 9 月底—10 月初特别说明：两种用法都成立——① 行前（9 月 25 日抵达西宁当天下午）：先看博物馆再上路、后面看到的每一处遗址都会更有意义；② 返程（D12 还车前）：作为收尾复盘。从""知识库""角度、本文更推荐前者。 国庆期间预约名额紧张、提前 1—3 天预约。","市区道路、无难度；国庆期间市区拥堵、建议打车或地铁。","良好。","无一手数据。","顺路强烈推荐（建议放 D1 补课）","D1 或 D12","零绕路（西宁市区）","http://www.qhmuseum.cn/#/about/tourguide"
"东关清真大寺","西宁市东关清真大寺。","青海湖·湟源·西宁","石窟/寺庙","1","0","","2260","1h","五时礼拜时段最壮观——每日五次礼拜、虔诚且壮观（来源：西宁本地宝）；但礼拜时间一般不欢迎非穆斯林参观（来源：西宁本地宝）。 - 9 月底—10 月初特别说明：这是 D1 或 D12 在西宁市区半天的最佳搭配项（与青海省博物馆组合）。天气无关、全天候可去。","市区道路；国庆期间东关大街容易堵车、建议公交或打车前往（来源：西宁本地宝）。","良好。","无一手数据。","顺路强烈推荐","D1 或 D12","零绕路（西宁市区）","http://m.xn.bendibao.com/tour/14627.shtm"
